Timestamp,SGP30_tVOC_ppb,SGP30_CO2eq_ppm,SGP40_SRAW_VOC,SGP41_SRAW_VOC,SGP41_SRAW_NOX,Temperature_C,Humidity_%
17/10/24 - 16:51:03,20,419,33871,32288,17046,25.1175,60.9827
17/10/24 - 16:51:04,25,412,33871,32299,17056,25.1015,60.9583
17/10/24 - 16:51:05,20,406,33862,32295,17044,25.1015,60.9491
17/10/24 - 16:51:06,18,405,33847,32289,17047,25.0187,60.9445
17/10/24 - 16:51:07,26,413,33842,32297,17042,25.0748,60.9125
17/10/24 - 16:51:08,25,409,33859,32290,17044,25.0614,60.9003
17/10/24 - 16:51:09,21,407,33863,32294,17044,25.0748,60.9033
17/10/24 - 16:51:10,30,412,33854,32288,17039,25.1015,60.8576
17/10/24 - 16:51:11,21,414,33847,32289,17035,25.1175,60.8392
17/10/24 - 16:51:13,22,414,33854,32292,17043,25.0748,60.9232
17/10/24 - 16:51:14,25,418,33859,32297,17044,25.1442,60.9049
17/10/24 - 16:51:15,21,403,33859,32289,17033,25.0748,60.9125
17/10/24 - 16:51:16,18,400,33850,32279,17030,25.1015,60.9171
17/10/24 - 16:51:17,24,407,33847,32297,17034,25.0881,60.9049
17/10/24 - 16:51:18,26,407,33850,32294,17034,25.1308,60.9033
17/10/24 - 16:51:19,22,400,33847,32295,17023,25.1015,60.8988
17/10/24 - 16:51:20,21,404,33835,32292,17029,25.1015,60.9491
17/10/24 - 16:51:21,17,407,33830,32290,17027,25.1015,60.8988
17/10/24 - 16:51:23,19,402,33831,32304,17030,25.1442,60.9262
17/10/24 - 16:51:24,23,404,33854,32292,17023,25.1015,60.9277
17/10/24 - 16:51:25,21,411,33843,32281,17024,25.0881,60.8438
17/10/24 - 16:51:26,19,407,33859,32284,17022,25.1015,60.8774
17/10/24 - 16:51:27,20,416,33846,32292,17023,25.1015,60.8362
17/10/24 - 16:51:28,17,409,33851,32292,17027,25.0748,60.8209
17/10/24 - 16:51:29,23,420,33830,32281,17015,25.1015,60.8072
17/10/24 - 16:51:30,23,420,33831,32276,17022,25.1015,60.8576
17/10/24 - 16:51:31,19,418,33847,32283,17017,25.1015,60.795
17/10/24 - 16:51:33,26,416,33854,32290,17018,25.1015,60.8072
17/10/24 - 16:51:34,28,420,33851,32276,17016,25.0881,60.8438
17/10/24 - 16:51:35,24,411,33850,32279,17013,25.1175,60.8087
17/10/24 - 16:51:36,24,414,33843,32286,17017,25.1308,60.8728
17/10/24 - 16:51:37,20,408,33843,32273,17008,25.0881,60.8759
17/10/24 - 16:51:38,26,415,33850,32278,17012,25.1015,60.827
17/10/24 - 16:51:39,27,424,33843,32285,17008,25.1175,60.8591
17/10/24 - 16:51:40,25,414,33830,32285,17002,25.0748,60.9125
17/10/24 - 16:51:41,31,421,33831,32280,17006,25.1308,60.8942
17/10/24 - 16:51:42,25,417,33815,32279,17008,25.1175,60.8804
