Timestamp	SGP30_tVOC_ppb	SGP30_CO2eq_ppm	SGP30_H2_raw	SGP30_Ethanol_raw	SGP30_H2	SGP30_Ethanol	SGP40_SRAW_VOC	SGP41_SRAW_VOC	SGP41_SRAW_NOX	sgp40_voc_index	sgp41_voc_index	Temperature_C	Humidity_%	FS3000_Velocity_m/s
10/12/24 - 09:42:38	0	407	55188	30422	1,03E-36	2,92E-11	33387	32974	16625	40	51	15,9796	44,242	0
10/12/24 - 09:42:39	3	413	55188	30422	1,03E-36	2,92E-11	33390	32980	16618	41	52	15,9663	44,1947	0
10/12/24 - 09:42:40	0	402	55188	30422	1,03E-36	2,92E-11	33379	32986	16613	41	52	16,009	44,2588	0
10/12/24 - 09:42:42	10	412	55188	30422	1,03E-36	2,92E-11	33391	32973	16623	42	52	16,009	44,2222	0
10/12/24 - 09:42:43	3	408	55188	30422	1,03E-36	2,92E-11	33398	32981	16621	42	53	16,0224	44,1444	0
10/12/24 - 09:42:44	8	408	55188	30422	1,03E-36	2,92E-11	33411	32991	16621	43	53	15,9796	44,2313	0
10/12/24 - 09:42:45	5	414	55188	30422	1,03E-36	2,92E-11	33426	32990	16621	43	54	16,0517	44,1001	0
10/12/24 - 09:42:46	3	400	55188	30422	1,03E-36	2,92E-11	33423	33008	16624	43	54	16,0517	44,0894	0
10/12/24 - 09:42:47	5	403	55188	30422	1,03E-36	2,92E-11	33419	32992	16627	44	54	16,0357	44,0986	0
10/12/24 - 09:42:48	6	408	55188	30422	1,03E-36	2,92E-11	33422	33015	16621	44	55	16,0224	44,0848	0
10/12/24 - 09:42:49	0	400	55188	30422	1,03E-36	2,92E-11	33431	33002	16626	45	55	16,0784	44,0452	0
10/12/24 - 09:42:51	9	402	55188	30422	1,03E-36	2,92E-11	33426	33010	16625	45	55	16,0918	44,0681	0
10/12/24 - 09:42:52	4	400	55188	30422	1,03E-36	2,92E-11	33419	33006	16624	46	56	16,0224	44,1077	0
10/12/24 - 09:42:53	9	420	55188	30422	1,03E-36	2,92E-11	33423	33007	16629	47	57	16,0651	44,0314	0
10/12/24 - 09:42:54	5	415	55188	30422	1,03E-36	2,92E-11	33426	33015	16630	47	57	16,0918	44,0131	0
10/12/24 - 09:42:55	8	414	55188	30422	1,03E-36	2,92E-11	33439	33022	16625	48	57	16,0784	43,9658	0
10/12/24 - 09:42:56	6	413	55188	30422	1,03E-36	2,92E-11	33446	33016	16634	48	58	16,0784	43,9887	0
10/12/24 - 09:42:57	17	417	55188	30422	1,03E-36	2,92E-11	33463	33018	16634	49	58	16,1505	44,0177	0
10/12/24 - 09:42:58	8	412	55188	30422	1,03E-36	2,92E-11	33459	33012	16635	49	59	16,1212	43,9796	0
10/12/24 - 09:43:00	6	410	55188	30422	1,03E-36	2,92E-11	33462	33021	16636	50	60	16,1345	43,9811	0
10/12/24 - 09:43:01	8	410	55188	30422	1,03E-36	2,92E-11	33467	33027	16633	50	60	16,1212	43,9933	0
10/12/24 - 09:43:02	7	403	55188	30422	1,03E-36	2,92E-11	33466	33024	16625	51	61	16,1345	43,9475	0
10/12/24 - 09:43:03	0	400	55188	30422	1,03E-36	2,92E-11	33495	33035	16630	51	61	16,1505	43,9033	0
10/12/24 - 09:43:04	0	408	55188	30422	1,03E-36	2,92E-11	33487	33053	16643	51	61	16,2066	43,8392	0
10/12/24 - 09:43:05	7	413	55188	30422	1,03E-36	2,92E-11	33482	33048	16632	52	62	16,1639	43,8346	0
10/12/24 - 09:43:06	4	412	55188	30422	1,03E-36	2,92E-11	33495	33039	16641	52	62	16,1505	43,8209	0
10/12/24 - 09:43:07	8	412	55188	30422	1,03E-36	2,92E-11	33502	33048	16635	52	63	16,1212	43,7827	0
10/12/24 - 09:43:09	6	419	55188	30422	1,03E-36	2,92E-11	33507	33049	16639	53	63	16,22	43,8514	0
10/12/24 - 09:43:10	7	405	55188	30422	1,03E-36	2,92E-11	33511	33057	16633	53	63	16,22	43,8392	0
10/12/24 - 09:43:11	5	400	55188	30422	1,03E-36	2,92E-11	33514	33049	16642	53	64	16,1772	43,8117	0
10/12/24 - 09:43:12	10	412	55188	30422	1,03E-36	2,92E-11	33527	33065	16643	53	64	16,1772	43,7873	0
10/12/24 - 09:43:13	7	414	55188	30422	1,03E-36	2,92E-11	33522	33074	16636	54	64	16,1639	43,798	0
10/12/24 - 09:43:14	14	405	55188	30422	1,03E-36	2,92E-11	33515	33067	16638	54	65	16,1772	43,7873	0
10/12/24 - 09:43:15	0	413	55188	30422	1,03E-36	2,92E-11	33519	33079	16639	55	65	16,22	43,7598	0
10/12/24 - 09:43:16	9	409	55188	30422	1,03E-36	2,92E-11	33522	33083	16640	55	65	16,2333	43,7476	0
10/12/24 - 09:43:18	6	405	55188	30422	1,03E-36	2,92E-11	33535	33091	16644	56	65	16,22	43,6652	0
10/12/24 - 09:43:19	2	406	55188	30422	1,03E-36	2,92E-11	33554	33103	16639	56	65	16,2627	43,6927	0
10/12/24 - 09:43:20	6	412	55188	30422	1,03E-36	2,92E-11	33555	33103	16642	56	65	16,2467	43,6683	0,00211462
10/12/24 - 09:43:21	0	400	55188	30422	1,03E-36	2,92E-11	33563	33109	16645	56	65	16,22	43,6774	0,0359486
