Time,Moisture (%)
2024-12-09 14:15:07,520,98
2024-12-09 14:15:08,520,98
2024-12-09 14:15:09,520,98
2024-12-09 14:15:10,520,98
2024-12-09 14:15:11,520,98
2024-12-09 14:15:12,521,97
2024-12-09 14:15:13,520,98
2024-12-09 14:15:14,520,98
2024-12-09 14:15:15,520,98
2024-12-09 14:15:16,520,98
2024-12-09 14:15:17,520,98
2024-12-09 14:15:18,520,98
2024-12-09 14:15:19,520,98
2024-12-09 14:15:20,521,97
2024-12-09 14:15:21,520,98
2024-12-09 14:15:22,520,98
2024-12-09 14:15:23,521,97
2024-12-09 14:15:24,520,98
2024-12-09 14:15:25,522,97
2024-12-09 14:15:26,521,97
2024-12-09 14:15:27,523,97
2024-12-09 14:15:28,521,97
2024-12-09 14:15:29,521,97
2024-12-09 14:15:30,521,97
2024-12-09 14:15:31,521,97
2024-12-09 14:15:32,521,97
2024-12-09 14:15:33,521,97
2024-12-09 14:15:34,522,97
2024-12-09 14:15:35,521,97
2024-12-09 14:15:36,521,97
2024-12-09 14:15:37,521,97
2024-12-09 14:15:38,521,97
2024-12-09 14:15:39,522,97
2024-12-09 14:15:40,522,97
2024-12-09 14:15:41,521,97
2024-12-09 14:15:42,522,97
2024-12-09 14:15:43,522,97
2024-12-09 14:15:44,521,97
2024-12-09 14:15:45,521,97
2024-12-09 14:15:46,522,97
2024-12-09 14:15:47,521,97
2024-12-09 14:15:48,522,97
2024-12-09 14:15:49,522,97
2024-12-09 14:15:50,522,97
2024-12-09 14:15:51,521,97
2024-12-09 14:15:52,522,97
2024-12-09 14:15:53,522,97
2024-12-09 14:15:54,522,97
2024-12-09 14:15:55,522,97
2024-12-09 14:15:56,522,97
2024-12-09 14:15:57,522,97
2024-12-09 14:15:58,522,97
2024-12-09 14:15:59,522,97
2024-12-09 14:16:00,522,97
2024-12-09 14:16:01,522,97
2024-12-09 14:16:02,522,97
2024-12-09 14:16:04,522,97
2024-12-09 14:16:05,522,97
2024-12-09 14:16:06,522,97
2024-12-09 14:16:07,523,97
2024-12-09 14:16:08,522,97
2024-12-09 14:16:09,522,97
2024-12-09 14:16:10,522,97
2024-12-09 14:16:11,522,97
2024-12-09 14:16:12,522,97
2024-12-09 14:16:13,522,97
2024-12-09 14:16:14,522,97
2024-12-09 14:16:15,523,97
2024-12-09 14:16:16,522,97
2024-12-09 14:16:17,523,97
2024-12-09 14:16:18,523,97
2024-12-09 14:16:19,522,97
2024-12-09 14:16:20,523,97
2024-12-09 14:16:21,522,97
2024-12-09 14:16:22,523,97
2024-12-09 14:16:23,522,97
2024-12-09 14:16:24,523,97
2024-12-09 14:16:25,523,97
2024-12-09 14:16:26,523,97
2024-12-09 14:16:27,523,97
2024-12-09 14:16:28,523,97
2024-12-09 14:16:29,523,97
2024-12-09 14:16:30,523,97
2024-12-09 14:16:31,523,97
2024-12-09 14:16:32,523,97
2024-12-09 14:16:33,523,97
2024-12-09 14:16:34,523,97
2024-12-09 14:16:35,523,97
2024-12-09 14:16:36,523,97
2024-12-09 14:16:37,523,97
2024-12-09 14:16:38,523,97
2024-12-09 14:16:39,523,97
2024-12-09 14:16:40,523,97
2024-12-09 14:16:41,523,97
2024-12-09 14:16:42,523,97
2024-12-09 14:16:43,523,97
2024-12-09 14:16:44,523,97
2024-12-09 14:16:45,524,96
2024-12-09 14:16:46,523,97
2024-12-09 14:16:47,523,97
2024-12-09 14:16:48,524,96
2024-12-09 14:16:49,523,97
2024-12-09 14:16:50,524,96
2024-12-09 14:16:51,523,97
2024-12-09 14:16:52,523,97
2024-12-09 14:16:53,523,97
2024-12-09 14:16:54,523,97
2024-12-09 14:16:55,523,97
2024-12-09 14:16:56,523,97
2024-12-09 14:16:57,523,97
2024-12-09 14:16:58,523,97
2024-12-09 14:16:59,523,97
2024-12-09 14:17:00,523,97
2024-12-09 14:17:01,523,97
2024-12-09 14:17:02,523,97
2024-12-09 14:17:03,524,96
2024-12-09 14:17:04,524,96
2024-12-09 14:17:05,523,97
2024-12-09 14:17:06,523,97
2024-12-09 14:17:07,523,97
2024-12-09 14:17:08,525,96
2024-12-09 14:17:09,525,96
2024-12-09 14:17:10,524,96
2024-12-09 14:17:11,524,96
2024-12-09 14:17:12,524,96
2024-12-09 14:17:13,524,96
2024-12-09 14:17:14,524,96
2024-12-09 14:17:15,524,96
2024-12-09 14:17:16,524,96
2024-12-09 14:17:17,524,96
2024-12-09 14:17:18,524,96
2024-12-09 14:17:19,524,96
2024-12-09 14:17:20,524,96
2024-12-09 14:17:21,525,96
2024-12-09 14:17:22,524,96
2024-12-09 14:17:23,523,97
2024-12-09 14:17:24,524,96
2024-12-09 14:17:25,524,96
2024-12-09 14:17:26,524,96
2024-12-09 14:17:27,524,96
2024-12-09 14:17:28,524,96
2024-12-09 14:17:29,524,96
2024-12-09 14:17:30,524,96
2024-12-09 14:17:31,524,96
2024-12-09 14:17:32,524,96
2024-12-09 14:17:33,524,96
2024-12-09 14:17:34,524,96
2024-12-09 14:17:35,524,96
2024-12-09 14:17:36,524,96
2024-12-09 14:17:37,524,96
2024-12-09 14:17:38,524,96
2024-12-09 14:17:39,524,96
2024-12-09 14:17:40,524,96
2024-12-09 14:17:41,524,96
2024-12-09 14:17:42,524,96
2024-12-09 14:17:43,524,96
2024-12-09 14:17:44,524,96
2024-12-09 14:17:45,525,96
2024-12-09 14:17:46,524,96
2024-12-09 14:17:47,524,96
2024-12-09 14:17:48,524,96
2024-12-09 14:17:50,525,96
2024-12-09 14:17:51,524,96
2024-12-09 14:17:52,528,94
2024-12-09 14:17:53,524,96
2024-12-09 14:17:54,524,96
2024-12-09 14:17:55,524,96
2024-12-09 14:17:56,524,96
2024-12-09 14:17:57,524,96
2024-12-09 14:17:58,524,96
2024-12-09 14:17:59,524,96
2024-12-09 14:18:00,524,96
2024-12-09 14:18:01,525,96
2024-12-09 14:18:02,524,96
2024-12-09 14:18:03,524,96
2024-12-09 14:18:04,524,96
2024-12-09 14:18:05,524,96
2024-12-09 14:18:06,524,96
2024-12-09 14:18:07,524,96
2024-12-09 14:18:08,524,96
2024-12-09 14:18:09,524,96
2024-12-09 14:18:10,524,96
2024-12-09 14:18:11,524,96
2024-12-09 14:18:12,524,96
2024-12-09 14:18:13,524,96
2024-12-09 14:18:14,524,96
2024-12-09 14:18:15,524,96
2024-12-09 14:18:16,524,96
2024-12-09 14:18:17,524,96
2024-12-09 14:18:18,524,96
2024-12-09 14:18:19,524,96
2024-12-09 14:18:20,524,96
2024-12-09 14:18:21,524,96
2024-12-09 14:18:22,524,96
2024-12-09 14:18:23,524,96
2024-12-09 14:18:24,524,96
2024-12-09 14:18:25,524,96
2024-12-09 14:18:26,524,96
2024-12-09 14:18:27,524,96
2024-12-09 14:18:28,524,96
2024-12-09 14:18:29,525,96
2024-12-09 14:18:30,524,96
2024-12-09 14:18:31,524,96
2024-12-09 14:18:32,524,96
2024-12-09 14:18:33,525,96
2024-12-09 14:18:34,525,96
2024-12-09 14:18:35,524,96
2024-12-09 14:18:36,524,96
2024-12-09 14:18:37,524,96
2024-12-09 14:18:38,524,96
2024-12-09 14:18:39,524,96
2024-12-09 14:18:40,524,96
2024-12-09 14:18:41,524,96
2024-12-09 14:18:42,524,96
2024-12-09 14:18:43,524,96
2024-12-09 14:18:44,524,96
2024-12-09 14:18:45,524,96
2024-12-09 14:18:46,524,96
2024-12-09 14:18:47,524,96
2024-12-09 14:18:48,524,96
2024-12-09 14:18:49,524,96
2024-12-09 14:18:50,524,96
2024-12-09 14:18:51,524,96
2024-12-09 14:18:52,524,96
2024-12-09 14:18:53,524,96
2024-12-09 14:18:54,524,96
2024-12-09 14:18:55,524,96
2024-12-09 14:18:56,524,96
2024-12-09 14:18:57,524,96
2024-12-09 14:18:58,524,96
2024-12-09 14:18:59,524,96
2024-12-09 14:19:00,524,96
